,variable,r_sqr,intercept,slope,p_value
149,yr_built_1951,1.0919530936459587e-05,0.5765913867852608,-0.0048451109256378855,0.6574422797002122
150,yr_built_1952,1.932294905182541e-05,0.5766067356344957,-0.006708110390804799,0.5552584441777163
151,yr_built_1953,2.8073010430174072e-05,0.5766219440664285,-0.00802310902440429,0.4770672822952704
152,yr_built_1954,0.0015753471652424356,0.577305087040568,-0.05055674506983148,9.907340859355504e-08
153,yr_built_1955,0.000555709673002891,0.5769666764766416,-0.03179276836940874,0.0015566891076378817
154,yr_built_1956,2.128210205643022e-05,0.576609840399343,-0.007076919648321891,0.5358621859920811
155,yr_built_1957,0.0004131839031739082,0.5768480684647886,-0.032492407980499655,0.006370629846109025
156,yr_built_1958,0.0003466264893038362,0.5768340888432114,-0.028560636257442703,0.01246636094069666
157,yr_built_1959,0.00214972285465842,0.5774751785111089,-0.05657547031716353,4.804888649937787e-10
158,yr_built_1960,0.0009263365397063072,0.5770575390438307,-0.04369284269666079,4.4020209010508806e-05
159,yr_built_1961,0.0009067261016295625,0.5770321938987539,-0.04491190840134759,5.304142498837367e-05
160,yr_built_1962,0.002835750181738983,0.5775524661877555,-0.06882742093576934,8.600104598848859e-13
161,yr_built_1963,0.0006051519325300792,0.5769595104231149,-0.03515376816641779,0.0009610315702019323
162,yr_built_1964,1.3041057833618197e-07,0.5765309698709565,0.0006388382477042202,0.9613485943502754
163,yr_built_1965,8.781309709660068e-05,0.5766734135628194,-0.01566757684327711,0.2085517265136104
164,yr_built_1966,0.0009982100390781845,0.5770773950486636,-0.04535622178058943,2.2262405542228533e-05
165,yr_built_1967,0.0014440517524990648,0.5773070502166059,-0.04629302304224017,3.3719928389921083e-07
166,yr_built_1968,0.0014973734124686944,0.5773601796109882,-0.04498430434824178,2.0497068486895406e-07
167,yr_built_1969,0.005601388921294359,0.5778948512683245,-0.1015551520957639,8.500901533148784e-24
168,yr_built_1970,0.0009835873805774664,0.5769049821199622,-0.06515939631301618,2.5569976522330567e-05
169,yr_built_1971,0.00038547705473856997,0.5767467540269039,-0.04466367341035552,0.008413837167854642
170,yr_built_1972,3.2006102712589524e-06,0.5765589099386376,-0.0034144823644714334,0.810268438840682
171,yr_built_1973,6.372945840660282e-05,0.5764336120240039,0.015236267556753154,0.28402934996393026
172,yr_built_1974,4.828677864110453e-06,0.5765068726259963,0.004062726138548259,0.7680813526594417
173,yr_built_1975,4.4911914725775937e-05,0.576633634407958,-0.01127573578826808,0.36847101203350696
174,yr_built_1976,4.746444806902339e-05,0.576423016137976,0.010327060292456943,0.3552025371938091
175,yr_built_1977,7.619839439443332e-05,0.5767192995605698,-0.010286385815401004,0.24142206555328746
176,yr_built_1978,0.0014490126023345429,0.5773070633710652,-0.0464486415970004,3.2193073131180927e-07
177,yr_built_1979,0.00013983820754615017,0.5767655435863884,-0.015035749075333253,0.11252096123367043
178,yr_built_1980,0.0011379403320939119,0.5770291565618126,-0.056578116535587225,5.949846365895499e-06
179,yr_built_1981,0.0003470759753531061,0.5768074668717852,-0.03134558518566323,0.012409500375448773
180,yr_built_1982,6.734474999237072e-05,0.5766192579066556,-0.019737889710178487,0.2707745894041599
181,yr_built_1983,0.00040962351393036833,0.5768337651333701,-0.03373314011656346,0.006601861495095239
182,yr_built_1984,0.00010638000461227204,0.5763776099584648,0.016486945530524474,0.16631529458617314
183,yr_built_1985,0.00034088456155756397,0.5768144448215587,-0.030033479894627735,0.013216731476101588
184,yr_built_1986,0.0004473638027290283,0.5768559486866803,-0.03430426938771459,0.004529932344041464
185,yr_built_1987,3.0996191598964273e-06,0.5765667742118199,-0.0024767669210449088,0.8132296255653645
186,yr_built_1988,0.00014525851803570689,0.5763373572088878,0.01797604949403396,0.10578561255858003
187,yr_built_1989,2.337393611995253e-10,0.5765357184642371,2.2746396668914453e-05,0.9983630178151978
188,yr_built_1990,3.8455824560967855e-05,0.5766473750429829,-0.00850210745986341,0.40530006729979096
189,yr_built_1991,5.022253645958763e-06,0.5765044944223748,0.003909831016490954,0.7636141154792376
190,yr_built_1992,3.721932708444786e-05,0.5766219570348597,-0.010607490521739467,0.41295514446919845
191,yr_built_1993,0.0001448663661028915,0.5767079380152621,-0.02064864702749392,0.10625774755488501
192,yr_built_1994,0.0004504968939004206,0.5768839610727543,-0.03181547382072297,0.004391012996824097
193,yr_built_1995,2.31332303801679e-06,0.5765167141611482,0.0029392862900831105,0.8382701547855462
194,yr_built_1996,3.054196908713891e-05,0.5764622198778476,0.010139941364435929,0.45830811263500026
195,yr_built_1997,0.00015103646961667216,0.5763764376892223,0.02317222030717288,0.09908897068795854
196,yr_built_1998,2.952984233117739e-05,0.5764522927592993,0.008661664660408443,0.46585275356545996
197,yr_built_1999,0.0004647102553075877,0.5761771316824802,0.0318377133274613,0.003813229612224628
198,yr_built_2000,0.001184983617612545,0.5760343138463684,0.05791889648598567,3.821358471560054e-06
199,yr_built_2001,0.0018201282569861865,0.5757895357667795,0.060018061800507116,1.0174386387896741e-08
200,yr_built_2002,6.711319575525287e-05,0.5764072836313612,0.012805464387530809,0.27159993934776666
